yob1,W_HO_PTA_dpr_SB,UW_HO_PTA_dpr_SB,T_W_HO_PTA_dpr_SB,T_UW_HO_PTA_dpr_SB,HO_ptadpr_RegCow_1,W_HO_SD_dpr_SB,W_BY1_HO_SD_dpr_SB,UW_HO_SD_dpr_SB,UW_BY1_HO_SD_dpr_SB,T_W_HO_SD_dpr_SB,T_UW_HO_SD_dpr_SB,W_BY1_HO_PTA_dpr_SB,HO_ptadpr_RegCow_4,W_HO_REL_dpr_SB,UW_HO_REL_dpr_SB,T_W_HO_REL_dpr_SB,T_UW_HO_REL_dpr_SB,W_BY1_HO_REL_dpr_SB,W_HO_NUM_PTA_SB,UW_HO_NUM_PTA_SB,T_W_HO_NUM_PTA_SB,T_UW_HO_NUM_PTA_SB,W_BY1_HO_NUM_PTA_SB,yob2,W_HO_PTA_dpr_SC,UW_HO_PTA_dpr_SC,T_W_HO_PTA_dpr_SC,T_UW_HO_PTA_dpr_SC,HO_ptadpr_RegCow_2,W_HO_SD_dpr_SC,W_BY1_HO_SD_dpr_SC,UW_HO_SD_dpr_SC,UW_BY1_HO_SD_dpr_SC,T_W_HO_SD_dpr_SC,T_UW_HO_SD_dpr_SC,W_BY1_HO_PTA_dpr_SC,HO_ptadpr_RegCow_5,W_HO_REL_dpr_SC,UW_HO_REL_dpr_SC,T_W_HO_REL_dpr_SC,T_UW_HO_REL_dpr_SC,W_BY1_HO_REL_dpr_SC,W_HO_NUM_PTA_SC,UW_HO_NUM_PTA_SC,T_W_HO_NUM_PTA_SC,T_UW_HO_NUM_PTA_SC,W_BY1_HO_NUM_PTA_SC,yob3,W_HO_PTA_dpr_DB,UW_HO_PTA_dpr_DB,T_W_HO_PTA_dpr_DB,T_UW_HO_PTA_dpr_DB,HO_ptadpr_RegCow_3,W_HO_SD_dpr_DB,W_BY1_HO_SD_dpr_DB,UW_HO_SD_dpr_DB,UW_BY1_HO_SD_dpr_DB,T_W_HO_SD_dpr_DB,T_UW_HO_SD_dpr_DB,W_BY1_HO_PTA_dpr_DB,HO_ptadpr_RegCow_6,W_HO_REL_dpr_DB,UW_HO_REL_dpr_DB,T_W_HO_REL_dpr_DB,T_UW_HO_REL_dpr_DB,W_BY1_HO_REL_dpr_DB,W_HO_NUM_PTA_DB,UW_HO_NUM_PTA_DB,T_W_HO_NUM_PTA_DB,T_UW_HO_NUM_PTA_DB,W_BY1_HO_NUM_PTA_DB,yob4,W_HO_PTA_dpr_DC,UW_HO_PTA_dpr_DC,T_W_HO_PTA_dpr_DC,T_UW_HO_PTA_dpr_DC,HO_ptadpr_AllCow_1,W_HO_SD_dpr_DC,W_BY1_HO_SD_dpr_DC,UW_HO_SD_dpr_DC,UW_BY1_HO_SD_dpr_DC,T_W_HO_SD_dpr_DC,T_UW_HO_SD_dpr_DC,W_BY1_HO_PTA_dpr_DC,HO_ptadpr_AllCow_2,W_HO_REL_dpr_DC,UW_HO_REL_dpr_DC,T_W_HO_REL_dpr_DC,T_UW_HO_REL_dpr_DC,W_BY1_HO_REL_dpr_DC,W_HO_NUM_PTA_DC,UW_HO_NUM_PTA_DC,T_W_HO_NUM_PTA_DC,T_UW_HO_NUM_PTA_DC,W_BY1_HO_NUM_PTA_DC,yob5,W_BY1_HO_SD_dpr_SB_1,W_BY1_HO_SD_dpr_SC_1,W_BY1_HO_SD_dpr_DB_1,W_BY1_HO_SD_dpr_DC_1,W_HO_SD_dpr_SB_1,W_HO_SD_dpr_SC_1,W_HO_SD_dpr_DB_1,W_HO_SD_dpr_DC_1,UW_BY1_HO_SD_dpr_SB_1,UW_BY1_HO_SD_dpr_SC_1,UW_BY1_HO_SD_dpr_DB_1,UW_BY1_HO_SD_dpr_DC_1,UW_HO_SD_dpr_SB_1,UW_HO_SD_dpr_SC_1,UW_HO_SD_dpr_DB_1,UW_HO_SD_dpr_DC_1,T_W_HO_SD_dpr_SB_1,T_W_HO_SD_dpr_SC_1,T_W_HO_SD_dpr_DB_1,T_W_HO_SD_dpr_DC_1,yob6,GenInt_SB,GenInt_SC,GenInt_DB,GenInt_DC,nGI_SB,nGI_SC,nGI_DB,nGI_DC,yob7,UW_BY1_HO_PTA_dpr_SB,HO_ptadpr_RegCow_7,HO_numdpr_RegCow,HO_ptadpr_AllCow_3,HO_numdpr_AllCow
1975,0.130569861,4.096247173,0.130569861,4.096247173,4.995753313,-4.865183452,#N/A,-0.89950614,#N/A,-4.865183452,-0.89950614,#N/A,4.995753313,0.962190888,0.696306593,0.962190888,0.696306593,#N/A,2825,176,2825,176,#N/A,1975,3.413620049,4.716469332,3.414236385,4.716469332,4.995753313,-1.582133264,-0.726124937,-0.279283981,#N/A,-1.581516928,-0.279283981,4.105506297,4.995753313,0.886139105,0.456765884,0.886210096,0.456765884,0.60379543,524382,2650,524038,2650,137,1975,4.567423584,4.840376579,4.567423584,4.840376579,4.995753313,-0.42832973,#N/A,-0.155376735,#N/A,-0.42832973,-0.155376735,#N/A,4.995753313,42.19166393,37.24675926,42.19166393,37.24675926,#N/A,3047,2160,3047,2160,#N/A,1975,5.669023422,5.679569941,5.669021354,5.679563039,5.672265621,-0.0032422,0.198042809,0.00730432,0.161611499,-0.003244267,0.007297417,5.086370674,5.672265621,26.43683347,24.57325499,26.43717094,24.57345888,22.76657825,444840,238953,444826,238950,754,1975,#N/A,-0.726124937,#N/A,0.198042809,-4.865183452,-1.582133264,-0.42832973,-0.0032422,#N/A,#N/A,#N/A,0.161611499,-0.89950614,-0.279283981,-0.155376735,0.00730432,-4.865183452,-1.581516928,-0.42832973,-0.003244267,1975,#N/A,-0.429942495,#N/A,-3.937505106,#N/A,137,#N/A,754,1975,#N/A,4.995753313,1629,5.672265621,456398
1976,2.581567703,3.816349572,2.581567703,3.816349572,4.681529217,-2.099961514,#N/A,-0.865179644,#N/A,-2.099961514,-0.865179644,#N/A,4.681529217,0.956882392,0.696910767,0.956882392,0.696910767,#N/A,2948,191,2948,191,#N/A,1976,3.028630102,4.484368441,3.02833094,4.484368441,4.681529217,-1.652899114,-0.332877608,-0.197160776,#N/A,-1.653198277,-0.197160776,4.612632286,4.681529217,0.908259559,0.459353094,0.908353327,0.459353094,0.481043504,762753,3046,762408,3046,939,1976,4.216043501,4.588953984,4.216043501,4.588953984,4.681529217,-0.465485716,#N/A,-0.092575233,#N/A,-0.465485716,-0.092575233,#N/A,4.681529217,41.3803781,36.58501838,41.3803781,36.58501838,#N/A,3068,2176,3068,2176,#N/A,1976,5.447373385,5.468551656,5.447370799,5.468547338,5.464344948,-0.016971563,0.137230885,0.004206708,0.155873211,-0.01697415,0.00420239,5.296036757,5.464344948,26.68276288,24.88064864,26.68297082,24.88083905,23.53023007,482888,261346,482883,261344,1869,1976,#N/A,-0.332877608,#N/A,0.137230885,-2.099961514,-1.652899114,-0.465485716,-0.016971563,#N/A,#N/A,#N/A,0.155873211,-0.865179644,-0.197160776,-0.092575233,0.004206708,-2.099961514,-1.653198277,-0.465485716,-0.01697415,1976,#N/A,1.358457998,#N/A,-1.351099334,#N/A,939,#N/A,1869,1976,#N/A,4.681529217,2109,5.464344948,493963
1977,0.940723069,3.508654031,0.940723069,3.508654031,4.511802025,-3.571078956,#N/A,-1.003147994,#N/A,-3.571078956,-1.003147994,#N/A,4.511802025,0.959194032,0.713930407,0.959194032,0.713930407,#N/A,2594,173,2594,173,#N/A,1977,2.867435504,4.252985372,2.86740877,4.252985372,4.511802025,-1.644366522,-0.456225155,-0.258816653,0.138414011,-1.644393255,-0.258816653,4.526058508,4.511802025,0.887335317,0.456873877,0.887488008,0.456873877,0.547065351,617172,3231,616693,3231,31849,1977,4.043583047,4.370190349,4.043583047,4.370190349,4.511802025,-0.468218979,-0.349961048,-0.141611676,-0.206743265,-0.468218979,-0.141611676,4.643921883,4.511802025,41.51903629,36.2774079,41.51903629,36.2774079,39.30952381,3362,2253,3362,2253,168,1977,5.2912734,5.319598333,5.291281184,5.319602669,5.323662909,-0.032389508,-0.028840921,-0.004064576,-0.044094447,-0.032381724,-0.00406024,5.618851347,5.323662909,27.10523333,25.28682934,27.10514293,25.28678829,26.27555,523988,285316,523982,285315,61546,1977,#N/A,-0.456225155,-0.349961048,-0.028840921,-3.571078956,-1.644366522,-0.468218979,-0.032389508,#N/A,0.138414011,-0.206743265,-0.044094447,-1.003147994,-0.258816653,-0.141611676,-0.004064576,-3.571078956,-1.644393255,-0.468218979,-0.032381724,1977,#N/A,2.215714558,2.266321176,2.129637675,#N/A,31849,168,61546,1977,#N/A,4.511802025,2422,5.323662909,533358
1978,-0.423899928,3.406403357,-0.423899928,3.406403357,4.415602721,-4.83950265,#N/A,-1.009199364,#N/A,-4.83950265,-1.009199364,#N/A,4.415602721,0.968500136,0.691721103,0.968500136,0.691721103,#N/A,3981,122,3981,122,#N/A,1978,1.67677912,4.103030236,1.676100277,4.103333664,4.415602721,-2.738823601,-0.339520878,-0.312572486,-0.076073712,-2.739502445,-0.312269057,4.48886116,4.415602721,0.868369372,0.449457191,0.868527628,0.449463553,0.54356659,492968,3059,492394,3058,71684,1978,3.990958922,4.313414116,3.990958922,4.313414116,4.415602721,-0.424643799,-0.247132919,-0.102188605,-0.068019151,-0.424643799,-0.102188605,4.649827829,4.415602721,40.29783748,34.68997107,40.29783748,34.68997107,38.92292089,3052,2074,3052,2074,493,1978,5.146544139,5.1687824,5.146546347,5.1687824,5.163670984,-0.017126845,-0.005247227,0.005111416,-0.005965145,-0.017124637,0.005111416,5.566483705,5.163670984,27.23523124,25.46190425,27.23526028,25.46190425,26.13419765,538891,298826,538884,298826,159973,1978,#N/A,-0.339520878,-0.247132919,-0.005247227,-4.83950265,-2.738823601,-0.424643799,-0.017126845,#N/A,-0.076073712,-0.068019151,-0.005965145,-1.009199364,-0.312572486,-0.102188605,0.005111416,-4.83950265,-2.739502445,-0.424643799,-0.017124637,1978,#N/A,2.536347085,2.813810875,2.621380072,#N/A,71684,493,159973,1978,#N/A,4.415602721,2611,5.163670984,563020
1979,1.497341514,3.162529276,1.497341514,3.162529276,4.269970018,-2.772628503,-0.174984164,-1.107440742,#N/A,-2.772628503,-1.107440742,4.537953677,4.269970018,0.971626466,0.731191817,0.971626466,0.731191817,0.635522169,5588,151,5588,151,134,1979,2.391698207,3.920706022,2.390989764,3.920706022,4.269970018,-1.878271812,-0.375056715,-0.349263996,-0.09817273,-1.878980254,-0.349263996,4.287056351,4.269970018,0.897594009,0.460429331,0.897823398,0.460429331,0.545597024,712945,3283,712298,3283,100234,1979,3.965437381,4.283638032,3.965437381,4.283638032,4.269970018,-0.304532637,-0.241637664,0.013668014,-0.065508822,-0.304532637,0.013668014,4.548185271,4.269970018,37.2231064,32.52920354,37.2231064,32.52920354,39.21928166,3393,2260,3393,2260,1058,1979,4.94702367,4.962146343,4.94702812,4.96215191,4.957353794,-0.010330124,-0.007648835,0.004792549,-0.004334534,-0.010325674,0.004798116,5.471890074,4.957353794,27.43403163,25.69101421,27.43400867,25.69098833,26.16233766,572062,321018,572060,321017,268884,1979,-0.174984164,-0.375056715,-0.241637664,-0.007648835,-2.772628503,-1.878271812,-0.304532637,-0.010330124,#N/A,-0.09817273,-0.065508822,-0.004334534,-1.107440742,-0.349263996,0.013668014,0.004792549,-2.772628503,-1.878980254,-0.304532637,-0.010325674,1979,3.00693657,2.771164974,3.311738471,3.030908662,134,100234,1058,268884,1979,#N/A,4.269970018,3145,4.957353794,624359
1980,2.003743305,3.028640576,2.003743305,3.028640576,3.947934369,-1.944191064,-0.598086069,-0.919293793,#N/A,-1.944191064,-0.919293793,4.021075816,3.947934369,0.957335204,0.755516996,0.957335204,0.755516996,0.633076713,3783,174,3783,174,117,1980,2.074209093,3.594952406,2.073955704,3.594952406,3.947934369,-1.873725276,-0.429222655,-0.352981963,-0.184223604,-1.873978665,-0.352981963,4.112902215,3.947934369,0.897246021,0.474681282,0.897307056,0.474681282,0.551563769,739128,3249,738843,3249,116238,1980,3.808032234,4.132890747,3.808032234,4.132890747,3.947934369,-0.139902135,-0.292748376,0.184956378,-0.105348927,-0.139902135,0.184956378,4.414032166,3.947934369,38.22850679,31.80543933,38.22850679,31.80543933,40.54228188,3978,2390,3978,2390,1490,1980,4.741092358,4.761980877,4.741097369,4.76198363,4.758818696,-0.017726338,-0.00764487,0.003162181,-0.002635555,-0.017721327,0.003164934,5.36956604,4.758818696,27.60381271,25.77072992,27.60374791,25.770709,26.28669767,607705,345684,607699,345683,369860,1980,-0.598086069,-0.429222655,-0.292748376,-0.00764487,-1.944191064,-1.873725276,-0.139902135,-0.017726338,#N/A,-0.184223604,-0.105348927,-0.002635555,-0.919293793,-0.352981963,0.184956378,0.003162181,-1.944191064,-1.873978665,-0.139902135,-0.017721327,1980,3.37305557,2.974309348,3.860558871,3.378656808,117,116238,1490,369860,1980,#N/A,3.947934369,4318,4.758818696,690506
1981,1.005280699,2.372920376,1.005280699,2.372920376,3.577183273,-2.571902573,-1.349674745,-1.204262896,#N/A,-2.571902573,-1.204262896,3.340253342,3.577183273,0.978569841,0.762732305,0.978569841,0.762732305,0.796349769,7476,172,7476,172,200,1981,1.639908107,3.236690257,1.639889879,3.236690257,3.577183273,-1.937275166,-0.64594945,-0.340493016,-0.235790995,-1.937293393,-0.340493016,3.853244364,3.577183273,0.914015295,0.478076029,0.91405688,0.478076029,0.614208269,846894,3150,846505,3150,146493,1981,3.197226129,3.738899336,3.197226129,3.738899336,3.577183273,-0.379957144,-0.392727447,0.161716063,-0.195170449,-0.379957144,0.161716063,4.217820597,3.577183273,40.65359355,31.70897833,40.65359355,31.70897833,41.29243243,5329,2907,5329,2907,1850,1981,4.507856341,4.538791398,4.507869824,4.538798502,4.537124925,-0.029268584,-0.005781138,0.001666473,-0.000910214,-0.029255101,0.001673577,5.246738702,4.537124925,27.93158703,26.02567955,27.93155744,26.02573272,26.579303,624633,358768,624626,358765,454346,1981,-1.349674745,-0.64594945,-0.392727447,-0.005781138,-2.571902573,-1.937275166,-0.379957144,-0.029268584,#N/A,-0.235790995,-0.195170449,-0.000910214,-1.204262896,-0.340493016,0.161716063,0.001666473,-2.571902573,-1.937293393,-0.379957144,-0.029255101,1981,4.793086927,3.559783728,4.310019424,3.657165638,200,146493,1850,454346,1981,#N/A,3.577183273,5944,4.537124925,738224
1982,1.420320455,2.285687686,1.420320455,2.285687686,3.385168842,-1.964848387,-1.949028286,-1.099481157,#N/A,-1.964848387,-1.099481157,2.767986746,3.385168842,0.938837907,0.747643434,0.938837907,0.747643434,0.917267509,3460,174,3460,174,549,1982,1.272424081,3.119391646,1.272178422,3.119391646,3.385168842,-2.112744761,-1.008861346,-0.265777196,-0.291412979,-2.11299042,-0.265777196,3.519506617,3.385168842,0.910111683,0.484924081,0.910231755,0.484924081,0.744198487,837707,3168,837170,3168,242005,1982,3.124144577,3.614277867,3.124144577,3.614277867,3.385168842,-0.261024265,-0.429089135,0.229109025,-0.205354401,-0.261024265,0.229109025,4.086730522,3.385168842,38.2443609,29.85156502,38.2443609,29.85156502,43.15246833,5852,3099,5852,3099,2289,1982,4.289163031,4.321736682,4.28917307,4.321736682,4.32561125,-0.036448219,-0.010595273,-0.003874568,-0.004164975,-0.03643818,-0.003874568,5.100545713,4.32561125,28.17072851,26.27639809,28.17044301,26.27639809,26.88844909,625701,362441,625693,362441,517405,1982,-1.949028286,-1.008861346,-0.429089135,-0.010595273,-1.964848387,-2.112744761,-0.261024265,-0.036448219,#N/A,-0.291412979,-0.205354401,-0.004164975,-1.099481157,-0.265777196,0.229109025,-0.003874568,-1.964848387,-2.11299042,-0.261024265,-0.03643818,1982,5.976723281,4.87066799,4.760351041,3.891221546,549,242005,2289,517405,1982,#N/A,3.385168842,7623,4.32561125,764573
1983,0.779777038,1.930435267,0.779777038,1.930435267,3.385545989,-2.605768951,-2.440591048,-1.455110722,-1.103965323,-2.605768951,-1.455110722,2.280718484,3.385545989,0.977071613,0.752132116,0.977071613,0.752132116,0.96039409,7042,136,7042,136,1344,1983,1.09732372,3.029249862,1.097018673,3.029249862,3.385545989,-2.288222269,-1.313715827,-0.356296126,-0.339465711,-2.288527316,-0.356296126,3.178651953,3.385545989,0.891945486,0.484279953,0.891989209,0.484279953,0.823559395,637208,3063,636891,3063,375061,1983,3.027790688,3.555988597,3.027790688,3.555988597,3.385545989,-0.357755301,-0.558907366,0.170442608,-0.249892691,-0.357755301,0.170442608,3.802099972,3.385545989,34.27487352,26.90870968,34.27487352,26.90870968,44.53972056,5337,3100,5337,3100,2505,1983,4.131213345,4.154109791,4.131228399,4.154109791,4.132202584,-0.000989239,-0.019857732,0.021907207,-0.01115667,-0.000974185,0.021907207,4.925579715,4.132202584,28.33656854,26.51258214,28.33643612,26.51258214,27.1093382,634168,369929,634162,369929,565987,1983,-2.440591048,-1.313715827,-0.558907366,-0.019857732,-2.605768951,-2.288222269,-0.357755301,-0.000989239,-1.103965323,-0.339465711,-0.249892691,-0.01115667,-1.455110722,-0.356296126,0.170442608,0.021907207,-2.605768951,-2.288527316,-0.357755301,-0.000974185,1983,7.012104397,5.904910537,5.043458873,4.028001054,1344,375061,2505,565987,1983,3.22957674,3.385545989,8714,4.132202584,779237
1984,0.187478116,1.820003667,0.187478116,1.820003667,3.214774853,-3.027296736,-2.748390494,-1.394771186,-1.015332673,-3.027296736,-1.394771186,1.888319231,3.214774853,0.94686097,0.7290681,0.94686097,0.7290681,0.953248839,2673,161,2673,161,1385,1984,1.178265107,2.845257793,1.178153788,2.845257793,3.214774853,-2.036509746,-1.52209678,-0.369517059,-0.327066589,-2.036621065,-0.369517059,2.890466526,3.214774853,0.884086549,0.486399069,0.884141988,0.486399069,0.862508487,607049,3116,606751,3116,480920,1984,2.924484522,3.410264883,2.924484522,3.410264883,3.214774853,-0.290290331,-0.574527998,0.19549003,-0.243030362,-0.290290331,0.19549003,3.603864013,3.214774853,31.82991089,25.84561984,31.82991089,25.84561984,45.27851745,5162,3025,5162,3025,2779,1984,3.939550021,3.959129305,3.939546537,3.959118321,3.932419685,0.007130336,-0.032486297,0.02670962,-0.019692031,0.007126851,0.026698636,4.736529638,3.932419685,28.46284844,26.71130107,28.46273368,26.71144572,27.47543108,625317,369319,625310,369317,584112,1984,-2.748390494,-1.52209678,-0.574527998,-0.032486297,-3.027296736,-2.036509746,-0.290290331,0.007130336,-1.015332673,-0.327066589,-0.243030362,-0.019692031,-1.394771186,-0.369517059,0.19549003,0.02670962,-3.027296736,-2.036621065,-0.290290331,0.007126851,1984,7.576522682,6.594060756,5.239215895,4.153793656,1385,480920,2779,584112,1984,3.14190529,3.214774853,10677,3.932419685,765599
